City,State,Rank,Population,lat,lon
Georgetown,Texas,666,54898,30.6332618,-97.6779842
St. Peters,Missouri,667,54842,38.7874699,-90.6298922
Shoreline,Washington,668,54790,47.7556531,-122.3415178
Mount Prospect,Illinois,669,54771,42.0664167,-87.9372908
Hanford,California,670,54686,36.3274502,-119.6456844
Normal,Illinois,671,54664,40.5142026,-88.9906312
Rosemead,California,672,54561,34.0805651,-118.072846
Lehi,Utah,673,54382,40.3916172,-111.8507662
Pocatello,Idaho,674,54350,42.8713032,-112.4455344
Highland,California,675,54291,34.1283442,-117.2086513
Novato,California,676,54194,38.1074198,-122.5697032
Port Arthur,Texas,677,54135,29.8849504,-93.939947
Carson City,Nevada,678,54080,39.1637984,-119.7674034
San Marcos,Texas,679,54076,29.8832749,-97.9413941
Hendersonville,Tennessee,680,54068,36.3047735,-86.6199957
Elyria,Ohio,681,53956,41.3683798,-82.1076486
Revere,Massachusetts,682,53756,42.4084302,-71.0119948
Pflugerville,Texas,683,53752,30.4393696,-97.6200043
Greenwood,Indiana,684,53665,39.6136578,-86.1066526
Bellevue,Nebraska,685,53663,41.1543623,-95.9145568
Wheaton,Illinois,686,53648,41.8661403,-88.1070127
Smyrna,Georgia,687,53438,33.8839926,-84.5143761
Sarasota,Florida,688,53326,27.3364347,-82.5306527
Blue Springs,Missouri,689,53294,39.0169509,-94.2816148
Colton,California,690,53243,34.0739016,-117.3136547
Euless,Texas,691,53224,32.8370727,-97.0819541
Castle Rock,Colorado,692,53063,39.3722121,-104.8560902
Cathedral City,California,693,52977,33.7805388,-116.4668036
Kingsport,Tennessee,694,52962,36.548434,-82.5618186
Lake Havasu City,Arizona,695,52844,34.483901,-114.3224548
Pensacola,Florida,696,52703,30.421309,-87.2169149
Hoboken,New Jersey,697,52575,40.7439905,-74.0323626
Yucaipa,California,698,52536,34.033625,-117.0430865
Watsonville,California,699,52477,36.910231,-121.7568946
Richland,Washington,700,52413,46.2856907,-119.2844621
Delano,California,701,52403,35.7688425,-119.2470536
Hoffman Estates,Illinois,702,52398,42.0629915,-88.1227199
Florissant,Missouri,703,52363,38.789217,-90.322614
Placentia,California,704,52206,33.8722371,-117.8703363
West New York,New Jersey,705,52122,40.7878788,-74.0143064
Dublin,California,706,52105,37.7021521,-121.9357918
Oak Park,Illinois,707,52066,41.8850317,-87.7845025
Peabody,Massachusetts,708,52044,42.5278731,-70.9286609
Perth Amboy,New Jersey,709,51982,40.5067723,-74.2654234
Battle Creek,Michigan,710,51848,42.3211522,-85.1797142
Bradenton,Florida,711,51763,27.4989278,-82.5748194
Gilroy,California,712,51701,37.0057816,-121.5682751
Milford,Connecticut,713,51644,41.2306979,-73.064036
Albany,Oregon,714,51583,44.6365107,-123.1059282
Ankeny,Iowa,715,51567,41.7317884,-93.6001278
La Crosse,Wisconsin,716,51522,43.8013556,-91.2395807
Burlington,North Carolina,717,51510,36.0956918,-79.4377991
DeSoto,Texas,718,51483,32.5896998,-96.8570738
Harrisonburg,Virginia,719,51395,38.4495688,-78.8689155
Minnetonka,Minnesota,720,51368,44.9211836,-93.4687489
Elkhart,Indiana,721,51265,41.6819935,-85.9766671
Lakewood,Ohio,722,51143,41.4819932,-81.7981908
Glendora,California,723,51074,34.1361187,-117.865339
Southaven,Mississippi,724,50997,34.9889818,-90.0125913
Charleston,West Virginia,725,50821,38.3498195,-81.6326234
Joplin,Missouri,726,50789,37.0842271,-94.513281
Enid,Oklahoma,727,50725,36.3955891,-97.8783911
Palm Beach Gardens,Florida,728,50699,26.8233946,-80.1386547
Brookhaven,Georgia,729,50603,33.8651033,-84.3365917
Plainfield,New Jersey,730,50588,40.6337136,-74.4073736
Grand Island,Nebraska,731,50550,40.9263957,-98.3420118
Palm Desert,California,732,50508,33.7222445,-116.3744556
Huntersville,North Carolina,733,50458,35.410694,-80.8428504
Tigard,Oregon,734,50444,45.4312294,-122.7714861
Lenexa,Kansas,735,50344,38.9536174,-94.7335709
Saginaw,Michigan,736,50303,43.4194699,-83.9508068
Kentwood,Michigan,737,50233,42.8694731,-85.6447492
Doral,Florida,738,50213,25.8195424,-80.3553302
Apple Valley,Minnesota,739,50201,44.7319094,-93.21772
Grapevine,Texas,740,50195,32.9342919,-97.0780654
Aliso Viejo,California,741,50175,33.5676842,-117.7256083
Sammamish,Washington,742,50169,47.6162683,-122.0355736
Casa Grande,Arizona,743,50111,32.8795022,-111.7573521
Pinellas Park,Florida,744,49998,27.8428025,-82.6995443
Troy,New York,745,49974,42.7284117,-73.6917851
West Sacramento,California,746,49891,38.5804609,-121.530234
Burien,Washington,747,49858,47.4703767,-122.3467918
Commerce City,Colorado,748,49799,39.8083196,-104.9338675
Monroe,Louisiana,749,49761,32.5093109,-92.1193012
Cerritos,California,750,49707,33.8583483,-118.0647871
Downers Grove,Illinois,751,49670,41.8089191,-88.0111746
Coral Gables,Florida,752,49631,25.72149,-80.2683838
Wilson,North Carolina,753,49628,35.7212689,-77.9155395
Niagara Falls,New York,754,49468,43.0962143,-79.0377388
Poway,California,755,49417,32.9628232,-117.0358646
Edina,Minnesota,756,49376,44.8896866,-93.3499489
Cuyahoga Falls,Ohio,757,49267,41.1339449,-81.4845585
Rancho Santa Margarita,California,758,49228,33.640855,-117.603104
Harrisburg,Pennsylvania,759,49188,40.2731911,-76.8867008
Huntington,West Virginia,760,49177,38.4192496,-82.445154
La Mirada,California,761,49133,33.9172357,-118.0120086
Cypress,California,762,49087,33.8169599,-118.0372852
Caldwell,Idaho,763,48957,43.6629384,-116.6873596
Logan,Utah,764,48913,41.7369803,-111.8338359
Galveston,Texas,765,48733,29.3013479,-94.7976958
Sheboygan,Wisconsin,766,48725,43.7508284,-87.71453
Middletown,Ohio,767,48630,39.5150576,-84.3982763
Murray,Utah,768,48612,40.6668916,-111.8879909
Roswell,New Mexico,769,48611,33.3942655,-104.5230242
Parker,Colorado,770,48608,39.5186002,-104.7613633
Bedford,Texas,771,48592,32.844017,-97.1430671
East Lansing,Michigan,772,48554,42.7369792,-84.4838654
Methuen,Massachusetts,773,48514,42.7262016,-71.1908924
Covina,California,774,48508,34.0900091,-117.8903397
Alexandria,Louisiana,775,48426,31.3112936,-92.4451371
Olympia,Washington,776,48338,47.0378741,-122.9006951
Euclid,Ohio,777,48139,41.5931049,-81.5267873
Mishawaka,Indiana,778,47989,41.6619927,-86.1586156
Salina,Kansas,779,47846,38.8402805,-97.6114237
Azusa,California,780,47842,34.1336186,-117.9075627
Newark,Ohio,781,47777,40.0581205,-82.4012642
Chesterfield,Missouri,782,47749,38.6631083,-90.5770675
Leesburg,Virginia,783,47673,39.1156615,-77.5636015
Dunwoody,Georgia,784,47591,33.9462125,-84.3346473
Hattiesburg,Mississippi,785,47556,31.3271189,-89.2903392
Roseville,Michigan,786,47555,42.4972583,-82.9371409
Bonita Springs,Florida,787,47547,26.339806,-81.7786972
Portage,Michigan,788,47523,42.2011538,-85.5800022
St. Louis Park,Minnesota,789,47411,44.9597376,-93.3702186
Collierville,Tennessee,790,47333,35.042036,-89.6645266
Middletown,Connecticut,791,47333,41.5623209,-72.6506488
Stillwater,Oklahoma,792,47186,36.1156071,-97.0583681
East Providence,Rhode Island,793,47149,41.8137116,-71.3700545
Lawrence,Indiana,794,47135,39.8386516,-86.0252612
Wauwatosa,Wisconsin,795,47134,43.0494572,-88.0075875
Mentor,Ohio,796,46979,41.6661573,-81.339552
Ceres,California,797,46714,37.5949316,-120.9577098
Cedar Hill,Texas,798,46663,32.5884689,-96.9561152
Mansfield,Ohio,799,46454,40.75839,-82.5154471
Binghamton,New York,800,46444,42.0986867,-75.9179738
Coeur d'Alene,Idaho,801,46402,47.6776832,-116.7804664
San Luis Obispo,California,802,46377,35.2827524,-120.6596156
Minot,North Dakota,803,46321,48.2329668,-101.2922906
Palm Springs,California,804,46281,33.8302961,-116.5452921
Pine Bluff,Arkansas,805,46094,34.2284312,-92.0031955
Texas City,Texas,806,46081,29.383845,-94.9027002
Summerville,South Carolina,807,46074,33.0185039,-80.1756481
Twin Falls,Idaho,808,45981,42.5629668,-114.4608711
Jeffersonville,Indiana,809,45929,38.2775702,-85.7371847
San Jacinto,California,810,45851,33.7839084,-116.958635
Madison,Alabama,811,45799,34.6992579,-86.7483318
Altoona,Pennsylvania,812,45796,40.5186809,-78.3947359
Columbus,Indiana,813,45775,39.2014404,-85.9213796
Beavercreek,Ohio,814,45712,39.7092262,-84.0632685
Apopka,Florida,815,45587,28.6934076,-81.5322149
Elmhurst,Illinois,816,45556,41.8994744,-87.9403418
Maricopa,Arizona,817,45508,33.0581063,-112.0476423
Farmington,New Mexico,818,45426,36.7280583,-108.2186856
Glenview,Illinois,819,45417,42.0697509,-87.7878408
Cleveland Heights,Ohio,820,45394,41.5200518,-81.556235
Draper,Utah,821,45285,40.5246711,-111.8638226
Lincoln,California,822,45237,38.891565,-121.2930079
Sierra Vista,Arizona,823,45129,31.5455001,-110.2772856
Lacey,Washington,824,44919,47.0342629,-122.8231915
Biloxi,Mississippi,825,44820,30.3960318,-88.8853078
Strongsville,Ohio,826,44730,41.3144966,-81.83569
Barnstable Town,Massachusetts,827,44641,41.7003208,-70.3002024
Wylie,Texas,828,44575,33.0151201,-96.5388789
Sayreville,New Jersey,829,44412,40.4594021,-74.360846
Kannapolis,North Carolina,830,44359,35.4873613,-80.6217341
Charlottesville,Virginia,831,44349,38.0293059,-78.4766781
Littleton,Colorado,832,44275,39.613321,-105.0166498
Titusville,Florida,833,44206,28.6122187,-80.8075537
Hackensack,New Jersey,834,44113,40.8859325,-74.0434736
Newark,California,835,44096,37.5296593,-122.0402399
Pittsfield,Massachusetts,836,44057,42.4500845,-73.2453824
York,Pennsylvania,837,43935,39.9625984,-76.727745
Lombard,Illinois,838,43907,41.8800296,-88.0078435
Attleboro,Massachusetts,839,43886,41.9445441,-71.2856082
DeKalb,Illinois,840,43849,41.9294736,-88.7503647
Blacksburg,Virginia,841,43609,37.2295733,-80.4139393
Dublin,Ohio,842,43607,40.0992294,-83.1140771
Haltom City,Texas,843,43580,32.7995738,-97.2691817
Lompoc,California,844,43509,34.6391501,-120.4579409
El Centro,California,845,43363,32.792,-115.5630514
Danville,California,846,43341,37.8215929,-121.9999606
Jefferson City,Missouri,847,43330,38.5767017,-92.1735164
Cutler Bay,Florida,848,43328,25.5808323,-80.3468593
Oakland Park,Florida,849,43286,26.1723065,-80.1319893
North Miami Beach,Florida,850,43250,25.9331488,-80.1625463
Freeport,New York,851,43167,40.6576022,-73.5831835
Moline,Illinois,852,43116,41.5067003,-90.5151342
Coachella,California,853,43092,33.6803003,-116.173894
Fort Pierce,Florida,854,43074,27.4467056,-80.3256056
Smyrna,Tennessee,855,43060,35.9828412,-86.5186045
Bountiful,Utah,856,43023,40.8893895,-111.880771
Fond du Lac,Wisconsin,857,42970,43.7730448,-88.4470508
Everett,Massachusetts,858,42935,42.40843,-71.0536625
Danville,Virginia,859,42907,36.5859718,-79.3950228
Keller,Texas,860,42907,32.9341893,-97.229298
Belleville,Illinois,861,42895,38.5200504,-89.9839935
Bell Gardens,California,862,42889,33.9652918,-118.1514588
Cleveland,Tennessee,863,42774,35.1595182,-84.8766115
North Lauderdale,Florida,864,42757,26.217305,-80.2258811
Fairfield,Ohio,865,42635,39.3454673,-84.5603187
Salem,Massachusetts,866,42544,42.51954,-70.8967155
Rancho Palos Verdes,California,867,42448,33.7444613,-118.3870173
San Bruno,California,868,42443,37.6304904,-122.4110835
Concord,New Hampshire,869,42419,43.2081366,-71.5375718
Burlington,Vermont,870,42284,44.4758825,-73.212072
Apex,North Carolina,871,42214,35.732652,-78.8502856
Midland,Michigan,872,42181,43.6155825,-84.2472116
Altamonte Springs,Florida,873,42150,28.6611089,-81.3656242
Hutchinson,Kansas,874,41889,38.0608445,-97.9297743
Buffalo Grove,Illinois,875,41778,42.1662831,-87.9631308
Urbandale,Iowa,876,41776,41.6266555,-93.7121656
State College,Pennsylvania,877,41757,40.7933949,-77.8600012
Urbana,Illinois,878,41752,40.1105875,-88.2072697
Plainfield,Illinois,879,41734,41.632223,-88.2120315
Manassas,Virginia,880,41705,38.7509488,-77.4752667
Bartlett,Illinois,881,41679,41.9950276,-88.1856301
Kearny,New Jersey,882,41664,40.7684342,-74.1454214
Oro Valley,Arizona,883,41627,32.3909071,-110.966488
Findlay,Ohio,884,41512,41.04422,-83.6499321
Rohnert Park,California,885,41398,38.3396367,-122.7010984
Linden,New Jersey,886,41301,40.6220478,-74.2445902
Westfield,Massachusetts,887,41301,42.1250929,-72.749538
Sumter,South Carolina,888,41190,33.9204354,-80.3414693
Wilkes-Barre,Pennsylvania,889,41108,41.2459149,-75.8813075
Woonsocket,Rhode Island,890,41026,42.0028761,-71.5147839
Leominster,Massachusetts,891,41002,42.5250906,-71.759794
Shelton,Connecticut,892,40999,41.3164856,-73.0931641
Brea,California,893,40963,33.9166805,-117.9000604
Covington,Kentucky,894,40956,39.0836712,-84.5085536
Rockwall,Texas,895,40922,32.9312336,-96.4597089
Meridian,Mississippi,896,40921,32.3643098,-88.703656
Riverton,Utah,897,40921,40.521893,-111.9391023
St. Cloud,Florida,898,40918,28.2489016,-81.2811801
Quincy,Illinois,899,40915,39.9356016,-91.4098726
Morgan Hill,California,900,40836,37.1305012,-121.6543901
Warren,Ohio,901,40768,41.2375569,-80.8184166
Edmonds,Washington,902,40727,47.8106521,-122.3773552
Burleson,Texas,903,40714,32.5420821,-97.3208492
Beverly,Massachusetts,904,40664,42.5584283,-70.880049
Mankato,Minnesota,905,40641,44.1635775,-93.9993996
Hagerstown,Maryland,906,40612,39.6417629,-77.7199932
Prescott,Arizona,907,40590,34.5400242,-112.4685025
Campbell,California,908,40584,37.2871651,-121.9499568
Cedar Falls,Iowa,909,40566,42.5348993,-92.4453161
Beaumont,California,910,40481,33.9294606,-116.977248
La Puente,California,911,40435,34.0200114,-117.9495083
Crystal Lake,Illinois,912,40388,42.2411344,-88.3161965
Fitchburg,Massachusetts,913,40383,42.5834228,-71.8022955
Carol Stream,Illinois,914,40379,41.9125286,-88.1347927
Hickory,North Carolina,915,40361,35.7344538,-81.3444573
Streamwood,Illinois,916,40351,42.0255827,-88.1784085
Norwich,Connecticut,917,40347,41.5242649,-72.0759105
Coppell,Texas,918,40342,32.9545687,-97.0150078
San Gabriel,California,919,40275,34.0961111,-118.1058333
Holyoke,Massachusetts,920,40249,42.2042586,-72.6162009
Bentonville,Arkansas,921,40167,36.3728538,-94.2088172
Florence,Alabama,922,40059,34.79981,-87.677251
Peachtree Corners,Georgia,923,40059,33.9698929,-84.2214551
Brentwood,Tennessee,924,40021,36.0331164,-86.7827772
Bozeman,Montana,925,39860,45.6769979,-111.0429339
New Berlin,Wisconsin,926,39834,42.9764027,-88.1084224
Goose Creek,South Carolina,927,39823,32.9810059,-80.0325867
Huntsville,Texas,928,39795,30.7235263,-95.5507771
Prescott Valley,Arizona,929,39791,34.6100243,-112.315721
Maplewood,Minnesota,930,39765,44.9530215,-92.9952153
Romeoville,Illinois,931,39650,41.6475306,-88.0895061
Duncanville,Texas,932,39605,32.6518004,-96.9083366
Atlantic City,New Jersey,933,39551,39.3642834,-74.4229266
Clovis,New Mexico,934,39508,34.4047987,-103.2052272
The Colony,Texas,935,39458,33.0806083,-96.8928309
Culver City,California,936,39428,34.0211224,-118.3964665
Marlborough,Massachusetts,937,39414,42.3459271,-71.5522874
Hilton Head Island,South Carolina,938,39412,32.216316,-80.752608
Moorhead,Minnesota,939,39398,46.8737648,-96.7678039
Calexico,California,940,39389,32.6789476,-115.4988834
Bullhead City,Arizona,941,39383,35.1359386,-114.5285981
Germantown,Tennessee,942,39375,35.0867577,-89.8100858
La Quinta,California,943,39331,33.6633573,-116.3100095
Lancaster,Ohio,944,39325,39.7136754,-82.5993294
Wausau,Wisconsin,945,39309,44.9591352,-89.6301221
Sherman,Texas,946,39296,33.6356618,-96.6088805
Ocoee,Florida,947,39172,28.5691677,-81.5439619
Shakopee,Minnesota,948,39167,44.7973962,-93.5272861
Woburn,Massachusetts,949,39083,42.4792618,-71.1522765
Bremerton,Washington,950,39056,47.5673202,-122.6329356
Rock Island,Illinois,951,38877,41.5094771,-90.5787476
Muskogee,Oklahoma,952,38863,35.7478769,-95.3696909
Cape Girardeau,Missouri,953,38816,37.3058839,-89.5181476
Annapolis,Maryland,954,38722,38.9784453,-76.4921829
Greenacres,Florida,955,38696,26.6276276,-80.1353896
Ormond Beach,Florida,956,38661,29.2858129,-81.0558894
Hallandale Beach,Florida,957,38632,25.9812024,-80.148379
Stanton,California,958,38623,33.8025155,-117.9931165
Puyallup,Washington,959,38609,47.1853785,-122.2928974
Pacifica,California,960,38606,37.6138253,-122.4869194
Hanover Park,Illinois,961,38510,41.9994722,-88.1450735
Hurst,Texas,962,38448,32.8234621,-97.1705678
Lima,Ohio,963,38355,40.742551,-84.1052256
Marana,Arizona,964,38290,32.436381,-111.2224422
Carpentersville,Illinois,965,38241,42.1211364,-88.2578582
Oakley,California,966,38194,37.9974219,-121.7124536
Huber Heights,Ohio,967,38142,39.843947,-84.1246608
Lancaster,Texas,968,38071,32.5920798,-96.7561082
Montclair,California,969,38027,34.0775104,-117.6897776
Wheeling,Illinois,970,38015,42.1391927,-87.9289591
Brookfield,Wisconsin,971,37999,43.0605671,-88.1064787
Park Ridge,Illinois,972,37839,42.0111412,-87.8406192
Florence,South Carolina,973,37792,34.1954331,-79.7625625
Roy,Utah,974,37733,41.1616108,-112.0263313
Winter Garden,Florida,975,37711,28.5652787,-81.5861847
Chelsea,Massachusetts,976,37670,42.3917638,-71.0328284
Valley Stream,New York,977,37659,40.6642699,-73.7084645
Spartanburg,South Carolina,978,37647,34.9495672,-81.9320482
Lake Oswego,Oregon,979,37610,45.4206749,-122.6706498
Friendswood,Texas,980,37587,29.5293998,-95.2010447
Westerville,Ohio,981,37530,40.1261743,-82.9290696
Northglenn,Colorado,982,37499,39.8961821,-104.9811468
Phenix City,Alabama,983,37498,32.4709761,-85.0007653
Grove City,Ohio,984,37490,39.8814519,-83.0929644
Texarkana,Texas,985,37442,33.425125,-94.0476882
Addison,Illinois,986,37385,41.931696,-87.9889556
Dover,Delaware,987,37366,39.158168,-75.5243682
Lincoln Park,Michigan,988,37313,42.2505943,-83.1785361
Calumet City,Illinois,989,37240,41.6155909,-87.5294871
Muskegon,Michigan,990,37213,43.2341813,-86.2483921
Aventura,Florida,991,37199,25.9564812,-80.1392121
Martinez,California,992,37165,38.0193657,-122.1341321
Greenfield,Wisconsin,993,37159,42.9614039,-88.0125865
Apache Junction,Arizona,994,37130,33.4150485,-111.5495777
Monrovia,California,995,37101,34.1442616,-118.0019482
Weslaco,Texas,996,37093,26.1595194,-97.9908366
Keizer,Oregon,997,37064,44.9901194,-123.0262077
Spanish Fork,Utah,998,36956,40.114955,-111.654923
Beloit,Wisconsin,999,36888,42.5083482,-89.0317765
Panama City,Florida,1000,36877,30.1588129,-85.6602058
